date,medicament,conso_jour,livraison,stock_fin,alerte_rupture,jours_stock
2024-01-10,Antibiotiques,3817,0,2449,True,0.6
2024-01-10,Morphine_IV,826,0,401,True,0.5
2024-01-10,Heparine,12022,0,6408,True,0.5
2024-01-10,Insuline,117597,0,-117597,True,-1.0
2024-01-11,Paracétamol_1g,4873,16200,172400,False,35.4
2024-01-11,Antibiotiques,3556,2916,1810,True,0.5
2024-01-11,Morphine_IV,834,648,215,True,0.3
2024-01-11,Heparine,11895,9720,4234,True,0.4
2024-01-11,Insuline,118989,19440,-99549,True,-0.8
2024-01-12,Paracétamol_1g,5065,0,167335,False,33.0
2024-01-12,Antibiotiques,3605,0,-1795,True,-0.5
2024-01-12,Morphine_IV,725,0,-510,True,-0.7
2024-01-12,Heparine,11882,0,-7648,True,-0.6
2024-01-12,Insuline,121921,0,-121921,True,-1.0
2024-01-13,Paracétamol_1g,4771,0,162564,False,34.1
2024-01-13,Antibiotiques,3391,0,-3391,True,-1.0
2024-01-13,Morphine_IV,713,0,-713,True,-1.0
2024-01-13,Heparine,12585,0,-12585,True,-1.0
2024-01-13,Insuline,122433,0,-122433,True,-1.0
2024-01-14,Paracétamol_1g,4621,0,157943,False,34.2
2024-01-14,Antibiotiques,3749,0,-3749,True,-1.0
2024-01-14,Morphine_IV,802,0,-802,True,-1.0
2024-01-14,Heparine,12201,0,-12201,True,-1.0
2024-01-14,Insuline,120211,0,-120211,True,-1.0
2024-01-15,Paracétamol_1g,4852,0,153091,False,31.6
2024-01-15,Antibiotiques,3603,0,-3603,True,-1.0
2024-01-15,Morphine_IV,812,0,-812,True,-1.0
2024-01-15,Heparine,11550,0,-11550,True,-1.0
2024-01-15,Insuline,119836,0,-119836,True,-1.0
2024-01-16,Paracétamol_1g,5512,16200,163779,False,29.7
2024-01-16,Antibiotiques,3835,2916,-919,True,-0.2
2024-01-16,Morphine_IV,821,648,-173,True,-0.2
2024-01-16,Heparine,12192,9720,-2472,True,-0.2
2024-01-16,Insuline,117967,19440,-98527,True,-0.8
2024-01-17,Paracétamol_1g,5300,0,158479,False,29.9
2024-01-17,Antibiotiques,3578,0,-3578,True,-1.0
2024-01-17,Morphine_IV,803,0,-803,True,-1.0
2024-01-17,Heparine,12304,0,-12304,True,-1.0
2024-01-17,Insuline,132466,0,-132466,True,-1.0
2024-01-18,Paracétamol_1g,5233,16200,169446,False,32.4
2024-01-18,Antibiotiques,3478,2916,-562,True,-0.2
2024-01-18,Morphine_IV,788,648,-140,True,-0.2
2024-01-18,Heparine,10331,9720,-611,True,-0.1
2024-01-18,Insuline,121104,19440,-101664,True,-0.8
2024-01-19,Paracétamol_1g,5174,0,164272,False,31.8
2024-01-19,Antibiotiques,3447,0,-3447,True,-1.0
2024-01-19,Morphine_IV,810,0,-810,True,-1.0
2024-01-19,Heparine,11863,0,-11863,True,-1.0
2024-01-19,Insuline,120485,0,-120485,True,-1.0
2024-01-20,Paracétamol_1g,5122,0,159150,False,31.1
2024-01-20,Antibiotiques,3259,0,-3259,True,-1.0
2024-01-20,Morphine_IV,810,0,-810,True,-1.0
2024-01-20,Heparine,11693,0,-11693,True,-1.0
2024-01-20,Insuline,113629,0,-113629,True,-1.0
2024-01-21,Paracétamol_1g,5226,0,153924,False,29.5
2024-01-21,Antibiotiques,3373,0,-3373,True,-1.0
2024-01-21,Morphine_IV,803,0,-803,True,-1.0
2024-01-21,Heparine,11747,0,-11747,True,-1.0
2024-01-21,Insuline,117084,0,-117084,True,-1.0
2024-01-22,Paracétamol_1g,4871,0,149053,False,30.6
2024-01-22,Antibiotiques,3381,0,-3381,True,-1.0
2024-01-22,Morphine_IV,822,0,-822,True,-1.0
2024-01-22,Heparine,12499,0,-12499,True,-1.0
2024-01-22,Insuline,131416,0,-131416,True,-1.0
2024-01-23,Paracétamol_1g,4867,16200,160386,False,33.0
2024-01-23,Antibiotiques,3371,2916,-455,True,-0.1
2024-01-23,Morphine_IV,769,648,-121,True,-0.2
2024-01-23,Heparine,11453,9720,-1733,True,-0.2
2024-01-23,Insuline,113211,19440,-93771,True,-0.8
2024-01-24,Paracétamol_1g,4505,0,155881,False,34.6
2024-01-24,Antibiotiques,3312,0,-3312,True,-1.0
2024-01-24,Morphine_IV,759,0,-759,True,-1.0
2024-01-24,Heparine,11869,0,-11869,True,-1.0
2024-01-24,Insuline,114652,0,-114652,True,-1.0
2024-01-25,Paracétamol_1g,4873,16200,167207,False,34.3
2024-01-25,Antibiotiques,3668,2916,-752,True,-0.2
2024-01-25,Morphine_IV,772,648,-124,True,-0.2
2024-01-25,Heparine,12101,9720,-2381,True,-0.2
2024-01-25,Insuline,122856,19440,-103416,True,-0.8
2024-01-26,Paracétamol_1g,5056,0,162152,False,32.1
2024-01-26,Antibiotiques,3762,0,-3762,True,-1.0
2024-01-26,Morphine_IV,854,0,-854,True,-1.0
2024-01-26,Heparine,11641,0,-11641,True,-1.0
2024-01-26,Insuline,128539,0,-128539,True,-1.0
2024-01-27,Paracétamol_1g,4977,0,157175,False,31.6
2024-01-27,Antibiotiques,3761,0,-3761,True,-1.0
2024-01-27,Morphine_IV,711,0,-711,True,-1.0
2024-01-27,Heparine,12036,0,-12036,True,-1.0
2024-01-27,Insuline,117777,0,-117777,True,-1.0
2024-01-28,Paracétamol_1g,4853,0,152322,False,31.4
2024-01-28,Antibiotiques,3498,0,-3498,True,-1.0
2024-01-28,Morphine_IV,829,0,-829,True,-1.0
2024-01-28,Heparine,11972,0,-11972,True,-1.0
2024-01-28,Insuline,114350,0,-114350,True,-1.0
2024-01-29,Paracétamol_1g,5211,0,147110,False,28.2
2024-01-29,Antibiotiques,3538,0,-3538,True,-1.0
2024-01-29,Morphine_IV,822,0,-822,True,-1.0
2024-01-29,Heparine,11025,0,-11025,True,-1.0
2024-01-29,Insuline,124898,0,-124898,True,-1.0
2024-01-30,Paracétamol_1g,4848,16200,158462,False,32.7
2024-01-30,Antibiotiques,3621,2916,-705,True,-0.2
2024-01-30,Morphine_IV,751,648,-103,True,-0.1
2024-01-30,Heparine,12433,9720,-2713,True,-0.2
2024-01-30,Insuline,126705,19440,-107265,True,-0.8
2024-01-31,Paracétamol_1g,5471,0,152992,False,28.0
2024-01-31,Antibiotiques,3651,0,-3651,True,-1.0
2024-01-31,Morphine_IV,867,0,-867,True,-1.0
2024-01-31,Heparine,11407,0,-11407,True,-1.0
2024-01-31,Insuline,122673,0,-122673,True,-1.0
2024-02-01,Paracétamol_1g,4939,16200,164253,False,33.3
2024-02-01,Antibiotiques,3768,2916,-852,True,-0.2
2024-02-01,Morphine_IV,791,648,-143,True,-0.2
2024-02-01,Heparine,11956,9720,-2236,True,-0.2
2024-02-01,Insuline,117913,19440,-98473,True,-0.8
2024-02-02,Paracétamol_1g,5038,0,159215,False,31.6
2024-02-02,Antibiotiques,3418,0,-3418,True,-1.0
2024-02-02,Morphine_IV,795,0,-795,True,-1.0
2024-02-02,Heparine,11983,0,-11983,True,-1.0
2024-02-02,Insuline,118129,0,-118129,True,-1.0
2024-02-03,Paracétamol_1g,4724,0,154491,False,32.7
2024-02-03,Antibiotiques,3223,0,-3223,True,-1.0
2024-02-03,Morphine_IV,732,0,-732,True,-1.0
2024-02-03,Heparine,11910,0,-11910,True,-1.0
2024-02-03,Insuline,108186,0,-108186,True,-1.0
2024-02-04,Paracétamol_1g,5293,0,149197,False,28.2
2024-02-04,Antibiotiques,3519,0,-3519,True,-1.0
2024-02-04,Morphine_IV,848,0,-848,True,-1.0
2024-02-04,Heparine,12044,0,-12044,True,-1.0
2024-02-04,Insuline,122384,0,-122384,True,-1.0
2024-02-05,Paracétamol_1g,5015,0,144182,False,28.7
2024-02-05,Antibiotiques,3266,0,-3266,True,-1.0
2024-02-05,Morphine_IV,829,0,-829,True,-1.0
2024-02-05,Heparine,12449,0,-12449,True,-1.0
2024-02-05,Insuline,117504,0,-117504,True,-1.0
2024-02-06,Paracétamol_1g,4806,16200,155576,False,32.4
2024-02-06,Antibiotiques,3295,2916,-379,True,-0.1
2024-02-06,Morphine_IV,799,648,-151,True,-0.2
2024-02-06,Heparine,12821,9720,-3101,True,-0.2
2024-02-06,Insuline,116490,19440,-97050,True,-0.8
2024-02-07,Paracétamol_1g,4706,0,150869,False,32.1
2024-02-07,Antibiotiques,3343,0,-3343,True,-1.0
2024-02-07,Morphine_IV,780,0,-780,True,-1.0
2024-02-07,Heparine,11599,0,-11599,True,-1.0
2024-02-07,Insuline,122653,0,-122653,True,-1.0
2024-02-08,Paracétamol_1g,4861,16200,162208,False,33.4
2024-02-08,Antibiotiques,3324,2916,-408,True,-0.1
2024-02-08,Morphine_IV,790,648,-142,True,-0.2
2024-02-08,Heparine,11645,9720,-1925,True,-0.2
2024-02-08,Insuline,116891,19440,-97451,True,-0.8
2024-02-09,Paracétamol_1g,5008,0,157201,False,31.4
2024-02-09,Antibiotiques,3553,0,-3553,True,-1.0
2024-02-09,Morphine_IV,816,0,-816,True,-1.0
2024-02-09,Heparine,11413,0,-11413,True,-1.0
2024-02-09,Insuline,118498,0,-118498,True,-1.0
2024-02-10,Paracétamol_1g,5024,0,152177,False,30.3
2024-02-10,Antibiotiques,3856,0,-3856,True,-1.0
2024-02-10,Morphine_IV,750,0,-750,True,-1.0
2024-02-10,Heparine,12057,0,-12057,True,-1.0
2024-02-10,Insuline,123175,0,-123175,True,-1.0
2024-02-11,Paracétamol_1g,5194,0,146982,False,28.3
2024-02-11,Antibiotiques,3722,0,-3722,True,-1.0
2024-02-11,Morphine_IV,786,0,-786,True,-1.0
2024-02-11,Heparine,12290,0,-12290,True,-1.0
2024-02-11,Insuline,117596,0,-117596,True,-1.0
2024-02-12,Paracétamol_1g,5090,0,141892,False,27.9
2024-02-12,Antibiotiques,3431,0,-3431,True,-1.0
2024-02-12,Morphine_IV,774,0,-774,True,-1.0
2024-02-12,Heparine,12045,0,-12045,True,-1.0
2024-02-12,Insuline,116036,0,-116036,True,-1.0
2024-02-13,Paracétamol_1g,5007,16200,153085,False,30.6
2024-02-13,Antibiotiques,3659,2916,-743,True,-0.2
2024-02-13,Morphine_IV,797,648,-149,True,-0.2
2024-02-13,Heparine,12768,9720,-3048,True,-0.2
2024-02-13,Insuline,112882,19440,-93442,True,-0.8
2024-02-14,Paracétamol_1g,4968,0,148117,False,29.8
2024-02-14,Antibiotiques,3832,0,-3832,True,-1.0
2024-02-14,Morphine_IV,849,0,-849,True,-1.0
2024-02-14,Heparine,12462,0,-12462,True,-1.0
2024-02-14,Insuline,116797,0,-116797,True,-1.0
2024-02-15,Paracétamol_1g,5100,16200,159217,False,31.2
2024-02-15,Antibiotiques,3890,2916,-974,True,-0.3
2024-02-15,Morphine_IV,888,648,-240,True,-0.3
2024-02-15,Heparine,12249,9720,-2529,True,-0.2
2024-02-15,Insuline,126765,19440,-107325,True,-0.8
2024-02-16,Paracétamol_1g,4557,0,154660,False,33.9
2024-02-16,Antibiotiques,3450,0,-3450,True,-1.0
2024-02-16,Morphine_IV,809,0,-809,True,-1.0
2024-02-16,Heparine,11483,0,-11483,True,-1.0
2024-02-16,Insuline,118534,0,-118534,True,-1.0
2024-02-17,Paracétamol_1g,4699,0,149961,False,31.9
2024-02-17,Antibiotiques,3566,0,-3566,True,-1.0
2024-02-17,Morphine_IV,756,0,-756,True,-1.0
2024-02-17,Heparine,11403,0,-11403,True,-1.0
2024-02-17,Insuline,119540,0,-119540,True,-1.0
2024-02-18,Paracétamol_1g,4825,0,145135,False,30.1
2024-02-18,Antibiotiques,3647,0,-3647,True,-1.0
2024-02-18,Morphine_IV,728,0,-728,True,-1.0
2024-02-18,Heparine,12100,0,-12100,True,-1.0
2024-02-18,Insuline,109983,0,-109983,True,-1.0
2024-02-19,Paracétamol_1g,4880,0,140256,False,28.7
2024-02-19,Antibiotiques,3507,0,-3507,True,-1.0
2024-02-19,Morphine_IV,799,0,-799,True,-1.0
2024-02-19,Heparine,11457,0,-11457,True,-1.0
2024-02-19,Insuline,118592,0,-118592,True,-1.0
2024-02-20,Paracétamol_1g,5471,16200,150985,False,27.6
2024-02-20,Antibiotiques,3363,2916,-447,True,-0.1
2024-02-20,Morphine_IV,841,648,-193,True,-0.2
2024-02-20,Heparine,12263,9720,-2543,True,-0.2
2024-02-20,Insuline,126032,19440,-106592,True,-0.8
2024-02-21,Paracétamol_1g,5475,0,145510,False,26.6
2024-02-21,Antibiotiques,3888,0,-3888,True,-1.0
2024-02-21,Morphine_IV,886,0,-886,True,-1.0
2024-02-21,Heparine,12857,0,-12857,True,-1.0
2024-02-21,Insuline,114848,0,-114848,True,-1.0
2024-02-22,Paracétamol_1g,4730,16200,156979,False,33.2
2024-02-22,Antibiotiques,3527,2916,-611,True,-0.2
2024-02-22,Morphine_IV,751,648,-103,True,-0.1
2024-02-22,Heparine,11769,9720,-2049,True,-0.2
2024-02-22,Insuline,127592,19440,-108152,True,-0.8
2024-02-23,Paracétamol_1g,5034,0,151946,False,30.2
2024-02-23,Antibiotiques,3543,0,-3543,True,-1.0
2024-02-23,Morphine_IV,724,0,-724,True,-1.0
2024-02-23,Heparine,10698,0,-10698,True,-1.0
2024-02-23,Insuline,119993,0,-119993,True,-1.0
2024-02-24,Paracétamol_1g,4536,0,147410,False,32.5
2024-02-24,Antibiotiques,3647,0,-3647,True,-1.0
2024-02-24,Morphine_IV,764,0,-764,True,-1.0
2024-02-24,Heparine,11491,0,-11491,True,-1.0
2024-02-24,Insuline,109040,0,-109040,True,-1.0
2024-02-25,Paracétamol_1g,4301,0,143109,False,33.3
2024-02-25,Antibiotiques,3751,0,-3751,True,-1.0
2024-02-25,Morphine_IV,816,0,-816,True,-1.0
2024-02-25,Heparine,11027,0,-11027,True,-1.0
2024-02-25,Insuline,109505,0,-109505,True,-1.0
2024-02-26,Paracétamol_1g,4857,0,138252,False,28.5
2024-02-26,Antibiotiques,3949,0,-3949,True,-1.0
2024-02-26,Morphine_IV,815,0,-815,True,-1.0
2024-02-26,Heparine,11192,0,-11192,True,-1.0
2024-02-26,Insuline,130515,0,-130515,True,-1.0
2024-02-27,Paracétamol_1g,4886,16200,149566,False,30.6
2024-02-27,Antibiotiques,3762,2916,-846,True,-0.2
2024-02-27,Morphine_IV,825,648,-177,True,-0.2
2024-02-27,Heparine,11454,9720,-1734,True,-0.2
2024-02-27,Insuline,120421,19440,-100981,True,-0.8
2024-02-28,Paracétamol_1g,5282,0,144284,False,27.3
2024-02-28,Antibiotiques,3616,0,-3616,True,-1.0
2024-02-28,Morphine_IV,734,0,-734,True,-1.0
2024-02-28,Heparine,11686,0,-11686,True,-1.0
2024-02-28,Insuline,117367,0,-117367,True,-1.0
2024-02-29,Paracétamol_1g,4905,16200,155579,False,31.7
2024-02-29,Antibiotiques,3552,2916,-636,True,-0.2
2024-02-29,Morphine_IV,831,648,-183,True,-0.2
2024-02-29,Heparine,11961,9720,-2241,True,-0.2
2024-02-29,Insuline,135945,19440,-116505,True,-0.9
2024-03-01,Paracétamol_1g,4704,0,150876,False,32.1
2024-03-01,Antibiotiques,3579,0,-3579,True,-1.0
2024-03-01,Morphine_IV,758,0,-758,True,-1.0
2024-03-01,Heparine,11772,0,-11772,True,-1.0
2024-03-01,Insuline,119943,0,-119943,True,-1.0
2024-03-02,Paracétamol_1g,4416,0,146459,False,33.2
2024-03-02,Antibiotiques,3218,0,-3218,True,-1.0
2024-03-02,Morphine_IV,840,0,-840,True,-1.0
2024-03-02,Heparine,11019,0,-11019,True,-1.0
2024-03-02,Insuline,109805,0,-109805,True,-1.0
2024-03-03,Paracétamol_1g,4667,0,141792,False,30.4
2024-03-03,Antibiotiques,3210,0,-3210,True,-1.0
2024-03-03,Morphine_IV,700,0,-700,True,-1.0
2024-03-03,Heparine,11900,0,-11900,True,-1.0
2024-03-03,Insuline,114065,0,-114065,True,-1.0
2024-03-04,Paracétamol_1g,4825,0,136967,False,28.4
2024-03-04,Antibiotiques,3277,0,-3277,True,-1.0
2024-03-04,Morphine_IV,734,0,-734,True,-1.0
2024-03-04,Heparine,12452,0,-12452,True,-1.0
2024-03-04,Insuline,114747,0,-114747,True,-1.0
2024-03-05,Paracétamol_1g,4649,16200,148518,False,31.9
2024-03-05,Antibiotiques,3429,2916,-513,True,-0.1
2024-03-05,Morphine_IV,756,648,-108,True,-0.1
2024-03-05,Heparine,10501,9720,-781,True,-0.1
2024-03-05,Insuline,114966,19440,-95526,True,-0.8
2024-03-06,Paracétamol_1g,4742,0,143776,False,30.3
2024-03-06,Antibiotiques,3604,0,-3604,True,-1.0
2024-03-06,Morphine_IV,718,0,-718,True,-1.0
2024-03-06,Heparine,10884,0,-10884,True,-1.0
2024-03-06,Insuline,126602,0,-126602,True,-1.0
2024-03-07,Paracétamol_1g,4823,16200,155153,False,32.2
2024-03-07,Antibiotiques,3344,2916,-428,True,-0.1
2024-03-07,Morphine_IV,751,648,-103,True,-0.1
2024-03-07,Heparine,11058,9720,-1338,True,-0.1
2024-03-07,Insuline,109456,19440,-90016,True,-0.8
2024-03-08,Paracétamol_1g,4749,0,150404,False,31.7
2024-03-08,Antibiotiques,3431,0,-3431,True,-1.0
2024-03-08,Morphine_IV,723,0,-723,True,-1.0
2024-03-08,Heparine,11199,0,-11199,True,-1.0
2024-03-08,Insuline,102022,0,-102022,True,-1.0
2024-03-09,Paracétamol_1g,4942,0,145461,False,29.4
2024-03-09,Antibiotiques,3570,0,-3570,True,-1.0
2024-03-09,Morphine_IV,742,0,-742,True,-1.0
2024-03-09,Heparine,11793,0,-11793,True,-1.0
2024-03-09,Insuline,104894,0,-104894,True,-1.0
2024-03-10,Paracétamol_1g,4887,0,140574,False,28.8
2024-03-10,Antibiotiques,3445,0,-3445,True,-1.0
2024-03-10,Morphine_IV,691,0,-691,True,-1.0
2024-03-10,Heparine,10889,0,-10889,True,-1.0
2024-03-10,Insuline,114010,0,-114010,True,-1.0
2024-03-11,Paracétamol_1g,4357,0,136217,False,31.3
2024-03-11,Antibiotiques,3465,0,-3465,True,-1.0
2024-03-11,Morphine_IV,754,0,-754,True,-1.0
2024-03-11,Heparine,11126,0,-11126,True,-1.0
2024-03-11,Insuline,105472,0,-105472,True,-1.0
2024-03-12,Paracétamol_1g,4713,16200,147704,False,31.3
2024-03-12,Antibiotiques,3348,2916,-432,True,-0.1
2024-03-12,Morphine_IV,727,648,-79,True,-0.1
2024-03-12,Heparine,11372,9720,-1652,True,-0.1
2024-03-12,Insuline,115058,19440,-95618,True,-0.8
2024-03-13,Paracétamol_1g,4557,0,143146,False,31.4
2024-03-13,Antibiotiques,3423,0,-3423,True,-1.0
2024-03-13,Morphine_IV,737,0,-737,True,-1.0
2024-03-13,Heparine,11207,0,-11207,True,-1.0
2024-03-13,Insuline,119065,0,-119065,True,-1.0
2024-03-14,Paracétamol_1g,4429,16200,154917,False,35.0
2024-03-14,Antibiotiques,3187,2916,-271,True,-0.1
2024-03-14,Morphine_IV,746,648,-98,True,-0.1
2024-03-14,Heparine,11089,9720,-1369,True,-0.1
2024-03-14,Insuline,118422,19440,-98982,True,-0.8
2024-03-15,Paracétamol_1g,4638,0,150279,False,32.4
2024-03-15,Antibiotiques,3731,0,-3731,True,-1.0
2024-03-15,Morphine_IV,690,0,-690,True,-1.0
2024-03-15,Heparine,11013,0,-11013,True,-1.0
2024-03-15,Insuline,117948,0,-117948,True,-1.0
2024-03-16,Paracétamol_1g,4399,0,145880,False,33.2
2024-03-16,Antibiotiques,3686,0,-3686,True,-1.0
2024-03-16,Morphine_IV,817,0,-817,True,-1.0
2024-03-16,Heparine,10629,0,-10629,True,-1.0
2024-03-16,Insuline,98086,0,-98086,True,-1.0
2024-03-17,Paracétamol_1g,4410,0,141470,False,32.1
2024-03-17,Antibiotiques,3468,0,-3468,True,-1.0
2024-03-17,Morphine_IV,790,0,-790,True,-1.0
2024-03-17,Heparine,10445,0,-10445,True,-1.0
2024-03-17,Insuline,116920,0,-116920,True,-1.0
2024-03-18,Paracétamol_1g,4737,0,136733,False,28.9
2024-03-18,Antibiotiques,3359,0,-3359,True,-1.0
2024-03-18,Morphine_IV,878,0,-878,True,-1.0
2024-03-18,Heparine,11235,0,-11235,True,-1.0
2024-03-18,Insuline,115433,0,-115433,True,-1.0
2024-03-19,Paracétamol_1g,4769,16200,148164,False,31.1
2024-03-19,Antibiotiques,3508,2916,-592,True,-0.2
2024-03-19,Morphine_IV,717,648,-69,True,-0.1
2024-03-19,Heparine,11287,9720,-1567,True,-0.1
2024-03-19,Insuline,118495,19440,-99055,True,-0.8
2024-03-20,Paracétamol_1g,5225,0,142939,False,27.4
2024-03-20,Antibiotiques,3477,0,-3477,True,-1.0
2024-03-20,Morphine_IV,760,0,-760,True,-1.0
2024-03-20,Heparine,11019,0,-11019,True,-1.0
2024-03-20,Insuline,111953,0,-111953,True,-1.0
2024-03-21,Paracétamol_1g,5271,16200,153868,False,29.2
2024-03-21,Antibiotiques,3363,2916,-447,True,-0.1
2024-03-21,Morphine_IV,821,648,-173,True,-0.2
2024-03-21,Heparine,10606,9720,-886,True,-0.1
2024-03-21,Insuline,106417,19440,-86977,True,-0.8
2024-03-22,Paracétamol_1g,4736,0,149132,False,31.5
2024-03-22,Antibiotiques,3610,0,-3610,True,-1.0
2024-03-22,Morphine_IV,740,0,-740,True,-1.0
2024-03-22,Heparine,11887,0,-11887,True,-1.0
2024-03-22,Insuline,110148,0,-110148,True,-1.0
2024-03-23,Paracétamol_1g,4716,0,144416,False,30.6
2024-03-23,Antibiotiques,3106,0,-3106,True,-1.0
2024-03-23,Morphine_IV,736,0,-736,True,-1.0
2024-03-23,Heparine,9555,0,-9555,True,-1.0
2024-03-23,Insuline,108830,0,-108830,True,-1.0
2024-03-24,Paracétamol_1g,4051,0,140364,False,34.6
2024-03-24,Antibiotiques,3436,0,-3436,True,-1.0
2024-03-24,Morphine_IV,747,0,-747,True,-1.0
2024-03-24,Heparine,10668,0,-10668,True,-1.0
2024-03-24,Insuline,114881,0,-114881,True,-1.0
2024-03-25,Paracétamol_1g,4611,0,135753,False,29.4
2024-03-25,Antibiotiques,3271,0,-3271,True,-1.0
2024-03-25,Morphine_IV,801,0,-801,True,-1.0
2024-03-25,Heparine,12677,0,-12677,True,-1.0
2024-03-25,Insuline,117646,0,-117646,True,-1.0
2024-03-26,Paracétamol_1g,4731,16200,147223,False,31.1
2024-03-26,Antibiotiques,3380,2916,-464,True,-0.1
2024-03-26,Morphine_IV,764,648,-116,True,-0.2
2024-03-26,Heparine,11405,9720,-1685,True,-0.1
2024-03-26,Insuline,118271,19440,-98831,True,-0.8
2024-03-27,Paracétamol_1g,4642,0,142581,False,30.7
2024-03-27,Antibiotiques,3100,0,-3100,True,-1.0
2024-03-27,Morphine_IV,745,0,-745,True,-1.0
2024-03-27,Heparine,11944,0,-11944,True,-1.0
2024-03-27,Insuline,115766,0,-115766,True,-1.0
2024-03-28,Paracétamol_1g,4971,16200,153810,False,30.9
2024-03-28,Antibiotiques,3316,2916,-400,True,-0.1
2024-03-28,Morphine_IV,793,648,-145,True,-0.2
2024-03-28,Heparine,11423,9720,-1703,True,-0.1
2024-03-28,Insuline,115706,19440,-96266,True,-0.8
2024-03-29,Paracétamol_1g,4592,0,149218,False,32.5
2024-03-29,Antibiotiques,3512,0,-3512,True,-1.0
2024-03-29,Morphine_IV,713,0,-713,True,-1.0
2024-03-29,Heparine,10795,0,-10795,True,-1.0
2024-03-29,Insuline,120862,0,-120862,True,-1.0
2024-03-30,Paracétamol_1g,4449,0,144769,False,32.5
2024-03-30,Antibiotiques,3041,0,-3041,True,-1.0
2024-03-30,Morphine_IV,793,0,-793,True,-1.0
2024-03-30,Heparine,11683,0,-11683,True,-1.0
2024-03-30,Insuline,110035,0,-110035,True,-1.0
2024-03-31,Paracétamol_1g,4463,0,140306,False,31.4
2024-03-31,Antibiotiques,3326,0,-3326,True,-1.0
2024-03-31,Morphine_IV,765,0,-765,True,-1.0
2024-03-31,Heparine,10891,0,-10891,True,-1.0
2024-03-31,Insuline,109731,0,-109731,True,-1.0
2024-04-01,Paracétamol_1g,4216,0,136091,False,32.3
2024-04-01,Antibiotiques,3516,0,-3516,True,-1.0
2024-04-01,Morphine_IV,765,0,-765,True,-1.0
2024-04-01,Heparine,11589,0,-11589,True,-1.0
2024-04-01,Insuline,123953,0,-123953,True,-1.0
2024-04-02,Paracétamol_1g,4775,16200,147516,False,30.9
2024-04-02,Antibiotiques,3666,2916,-750,True,-0.2
2024-04-02,Morphine_IV,753,648,-105,True,-0.1
2024-04-02,Heparine,10092,9720,-372,True,-0.0
2024-04-02,Insuline,116060,19440,-96620,True,-0.8
2024-04-03,Paracétamol_1g,4560,0,142955,False,31.3
2024-04-03,Antibiotiques,3431,0,-3431,True,-1.0
2024-04-03,Morphine_IV,764,0,-764,True,-1.0
2024-04-03,Heparine,11084,0,-11084,True,-1.0
2024-04-03,Insuline,111157,0,-111157,True,-1.0
2024-04-04,Paracétamol_1g,4749,16200,154406,False,32.5
2024-04-04,Antibiotiques,3380,2916,-464,True,-0.1
