date,service,equipement,quantite_totale,en_service,disponible,taux_utilisation
2023-01-09,Imagerie,Échos,15,9,6,0.644
2023-01-09,Urgences,Moniteurs,25,20,5,0.831
2023-01-09,Urgences,Perfuseurs,35,26,9,0.746
2023-01-09,Urgences,Défibrillateurs,15,10,5,0.667
2023-01-10,Réanimation,Respirateurs,120,92,28,0.772
2023-01-10,Réanimation,Moniteurs,90,82,8,0.915
2023-01-10,Réanimation,Perfuseurs,100,88,12,0.889
2023-01-10,Réanimation,Défibrillateurs,25,18,7,0.756
2023-01-10,Réanimation,Ventilateurs_NIV,80,67,13,0.843
2023-01-10,Réanimation,Échos,10,8,2,0.815
2023-01-10,Médecine,Moniteurs,180,162,18,0.9
2023-01-10,Médecine,Perfuseurs,450,324,126,0.722
2023-01-10,Médecine,Échos,30,20,10,0.696
2023-01-10,Médecine,Défibrillateurs,20,12,8,0.646
2023-01-10,Médecine,Respirateurs,20,12,8,0.613
2023-01-10,Chirurgie,Moniteurs,60,49,11,0.829
2023-01-10,Chirurgie,Perfuseurs,250,186,64,0.746
2023-01-10,Chirurgie,Échos,25,15,10,0.613
2023-01-10,Chirurgie,Défibrillateurs,20,11,9,0.599
2023-01-10,Chirurgie,Respirateurs,10,7,3,0.718
2023-01-10,Imagerie,IRM,5,4,1,0.963
2023-01-10,Imagerie,Scanners,4,3,1,0.9
2023-01-10,Imagerie,Échos,15,9,6,0.665
2023-01-10,Urgences,Moniteurs,25,20,5,0.823
2023-01-10,Urgences,Perfuseurs,35,25,10,0.717
2023-01-10,Urgences,Défibrillateurs,15,9,6,0.619
2023-01-11,Réanimation,Respirateurs,120,92,28,0.768
2023-01-11,Réanimation,Moniteurs,90,87,3,0.971
2023-01-11,Réanimation,Perfuseurs,100,86,14,0.865
2023-01-11,Réanimation,Défibrillateurs,25,17,8,0.698
2023-01-11,Réanimation,Ventilateurs_NIV,80,65,15,0.819
2023-01-11,Réanimation,Échos,10,8,2,0.825
2023-01-11,Médecine,Moniteurs,180,143,37,0.799
2023-01-11,Médecine,Perfuseurs,450,335,115,0.747
2023-01-11,Médecine,Échos,30,19,11,0.636
2023-01-11,Médecine,Défibrillateurs,20,12,8,0.601
2023-01-11,Médecine,Respirateurs,20,12,8,0.638
2023-01-11,Chirurgie,Moniteurs,60,48,12,0.815
2023-01-11,Chirurgie,Perfuseurs,250,212,38,0.851
2023-01-11,Chirurgie,Échos,25,18,7,0.735
2023-01-11,Chirurgie,Défibrillateurs,20,11,9,0.569
2023-01-11,Chirurgie,Respirateurs,10,6,4,0.634
2023-01-11,Imagerie,IRM,5,4,1,0.98
2023-01-11,Imagerie,Scanners,4,3,1,0.892
2023-01-11,Imagerie,Échos,15,10,5,0.687
2023-01-11,Urgences,Moniteurs,25,19,6,0.768
2023-01-11,Urgences,Perfuseurs,35,26,9,0.76
2023-01-11,Urgences,Défibrillateurs,15,8,7,0.554
2023-01-12,Réanimation,Respirateurs,120,82,38,0.691
2023-01-12,Réanimation,Moniteurs,90,84,6,0.938
2023-01-12,Réanimation,Perfuseurs,100,93,7,0.934
2023-01-12,Réanimation,Défibrillateurs,25,17,8,0.715
2023-01-12,Réanimation,Ventilateurs_NIV,80,66,14,0.83
2023-01-12,Réanimation,Échos,10,8,2,0.822
2023-01-12,Médecine,Moniteurs,180,148,32,0.824
2023-01-12,Médecine,Perfuseurs,450,342,108,0.76
2023-01-12,Médecine,Échos,30,21,9,0.703
2023-01-12,Médecine,Défibrillateurs,20,11,9,0.558
2023-01-12,Médecine,Respirateurs,20,13,7,0.671
2023-01-12,Chirurgie,Moniteurs,60,49,11,0.818
2023-01-12,Chirurgie,Perfuseurs,250,187,63,0.75
2023-01-12,Chirurgie,Échos,25,18,7,0.738
2023-01-12,Chirurgie,Défibrillateurs,20,11,9,0.571
2023-01-12,Chirurgie,Respirateurs,10,7,3,0.712
2023-01-12,Imagerie,IRM,5,4,1,0.98
2023-01-12,Imagerie,Scanners,4,3,1,0.934
2023-01-12,Imagerie,Échos,15,9,6,0.649
2023-01-12,Urgences,Moniteurs,25,20,5,0.8
2023-01-12,Urgences,Perfuseurs,35,24,11,0.711
2023-01-12,Urgences,Défibrillateurs,15,9,6,0.604
2023-01-13,Réanimation,Respirateurs,120,85,35,0.714
2023-01-13,Réanimation,Moniteurs,90,84,6,0.933
2023-01-13,Réanimation,Perfuseurs,100,93,7,0.939
2023-01-13,Réanimation,Défibrillateurs,25,19,6,0.782
2023-01-13,Réanimation,Ventilateurs_NIV,80,73,7,0.924
2023-01-13,Réanimation,Échos,10,7,3,0.79
2023-01-13,Médecine,Moniteurs,180,135,45,0.751
2023-01-13,Médecine,Perfuseurs,450,335,115,0.746
2023-01-13,Médecine,Échos,30,21,9,0.713
2023-01-13,Médecine,Défibrillateurs,20,12,8,0.605
2023-01-13,Médecine,Respirateurs,20,12,8,0.649
2023-01-13,Chirurgie,Moniteurs,60,46,14,0.774
2023-01-13,Chirurgie,Perfuseurs,250,185,65,0.741
2023-01-13,Chirurgie,Échos,25,18,7,0.74
2023-01-13,Chirurgie,Défibrillateurs,20,12,8,0.617
2023-01-13,Chirurgie,Respirateurs,10,7,3,0.706
2023-01-13,Imagerie,IRM,5,4,1,0.909
2023-01-13,Imagerie,Scanners,4,3,1,0.908
2023-01-13,Imagerie,Échos,15,10,5,0.718
2023-01-13,Urgences,Moniteurs,25,18,7,0.744
2023-01-13,Urgences,Perfuseurs,35,26,9,0.769
2023-01-13,Urgences,Défibrillateurs,15,7,8,0.531
2023-01-14,Réanimation,Respirateurs,120,88,32,0.741
2023-01-14,Réanimation,Moniteurs,90,82,8,0.914
2023-01-14,Réanimation,Perfuseurs,100,95,5,0.955
2023-01-14,Réanimation,Défibrillateurs,25,17,8,0.682
2023-01-14,Réanimation,Ventilateurs_NIV,80,68,12,0.851
2023-01-14,Réanimation,Échos,10,8,2,0.856
2023-01-14,Médecine,Moniteurs,180,147,33,0.818
2023-01-14,Médecine,Perfuseurs,450,340,110,0.756
2023-01-14,Médecine,Échos,30,19,11,0.637
2023-01-14,Médecine,Défibrillateurs,20,11,9,0.579
2023-01-14,Médecine,Respirateurs,20,14,6,0.725
2023-01-14,Chirurgie,Moniteurs,60,49,11,0.823
2023-01-14,Chirurgie,Perfuseurs,250,198,52,0.795
2023-01-14,Chirurgie,Échos,25,16,9,0.65
2023-01-14,Chirurgie,Défibrillateurs,20,12,8,0.645
2023-01-14,Chirurgie,Respirateurs,10,6,4,0.619
2023-01-14,Imagerie,IRM,5,4,1,0.976
2023-01-14,Imagerie,Scanners,4,3,1,0.93
2023-01-14,Imagerie,Échos,15,11,4,0.749
2023-01-14,Urgences,Moniteurs,25,17,8,0.718
2023-01-14,Urgences,Perfuseurs,35,25,10,0.721
2023-01-14,Urgences,Défibrillateurs,15,8,7,0.6
2023-01-15,Réanimation,Respirateurs,120,87,33,0.727
2023-01-15,Réanimation,Moniteurs,90,88,2,0.98
2023-01-15,Réanimation,Perfuseurs,100,87,13,0.879
2023-01-15,Réanimation,Défibrillateurs,25,15,10,0.633
2023-01-15,Réanimation,Ventilateurs_NIV,80,74,6,0.936
2023-01-15,Réanimation,Échos,10,8,2,0.806
2023-01-15,Médecine,Moniteurs,180,132,48,0.735
2023-01-15,Médecine,Perfuseurs,450,370,80,0.823
2023-01-15,Médecine,Échos,30,20,10,0.684
2023-01-15,Médecine,Défibrillateurs,20,11,9,0.573
2023-01-15,Médecine,Respirateurs,20,13,7,0.69
2023-01-15,Chirurgie,Moniteurs,60,46,14,0.783
2023-01-15,Chirurgie,Perfuseurs,250,199,51,0.797
2023-01-15,Chirurgie,Échos,25,18,7,0.75
2023-01-15,Chirurgie,Défibrillateurs,20,12,8,0.641
2023-01-15,Chirurgie,Respirateurs,10,6,4,0.631
2023-01-15,Imagerie,IRM,5,4,1,0.888
2023-01-15,Imagerie,Scanners,4,3,1,0.85
2023-01-15,Imagerie,Échos,15,10,5,0.699
2023-01-15,Urgences,Moniteurs,25,19,6,0.785
2023-01-15,Urgences,Perfuseurs,35,28,7,0.806
2023-01-15,Urgences,Défibrillateurs,15,8,7,0.597
2023-01-16,Réanimation,Respirateurs,120,88,32,0.737
2023-01-16,Réanimation,Moniteurs,90,87,3,0.967
2023-01-16,Réanimation,Perfuseurs,100,85,15,0.856
2023-01-16,Réanimation,Défibrillateurs,25,17,8,0.714
2023-01-16,Réanimation,Ventilateurs_NIV,80,71,9,0.892
2023-01-16,Réanimation,Échos,10,8,2,0.874
2023-01-16,Médecine,Moniteurs,180,139,41,0.777
2023-01-16,Médecine,Perfuseurs,450,343,107,0.763
2023-01-16,Médecine,Échos,30,21,9,0.731
2023-01-16,Médecine,Défibrillateurs,20,12,8,0.624
2023-01-16,Médecine,Respirateurs,20,12,8,0.633
2023-01-16,Chirurgie,Moniteurs,60,49,11,0.823
2023-01-16,Chirurgie,Perfuseurs,250,176,74,0.708
2023-01-16,Chirurgie,Échos,25,17,8,0.708
2023-01-16,Chirurgie,Défibrillateurs,20,12,8,0.616
2023-01-16,Chirurgie,Respirateurs,10,7,3,0.74
2023-01-16,Imagerie,IRM,5,4,1,0.907
2023-01-16,Imagerie,Scanners,4,3,1,0.832
2023-01-16,Imagerie,Échos,15,10,5,0.717
2023-01-16,Urgences,Moniteurs,25,19,6,0.798
2023-01-16,Urgences,Perfuseurs,35,26,9,0.745
2023-01-16,Urgences,Défibrillateurs,15,9,6,0.604
2023-01-17,Réanimation,Respirateurs,120,93,27,0.778
2023-01-17,Réanimation,Moniteurs,90,77,13,0.866
2023-01-17,Réanimation,Perfuseurs,100,85,15,0.858
2023-01-17,Réanimation,Défibrillateurs,25,17,8,0.689
2023-01-17,Réanimation,Ventilateurs_NIV,80,67,13,0.846
2023-01-17,Réanimation,Échos,10,8,2,0.82
2023-01-17,Médecine,Moniteurs,180,134,46,0.748
2023-01-17,Médecine,Perfuseurs,450,314,136,0.699
2023-01-17,Médecine,Échos,30,20,10,0.675
2023-01-17,Médecine,Défibrillateurs,20,12,8,0.629
2023-01-17,Médecine,Respirateurs,20,13,7,0.681
2023-01-17,Chirurgie,Moniteurs,60,49,11,0.822
2023-01-17,Chirurgie,Perfuseurs,250,184,66,0.739
2023-01-17,Chirurgie,Échos,25,15,10,0.638
2023-01-17,Chirurgie,Défibrillateurs,20,12,8,0.627
2023-01-17,Chirurgie,Respirateurs,10,6,4,0.655
2023-01-17,Imagerie,IRM,5,4,1,0.84
2023-01-17,Imagerie,Scanners,4,3,1,0.932
2023-01-17,Imagerie,Échos,15,10,5,0.667
2023-01-17,Urgences,Moniteurs,25,18,7,0.75
2023-01-17,Urgences,Perfuseurs,35,25,10,0.734
2023-01-17,Urgences,Défibrillateurs,15,9,6,0.628
2023-01-18,Réanimation,Respirateurs,120,95,25,0.797
2023-01-18,Réanimation,Moniteurs,90,80,10,0.897
2023-01-18,Réanimation,Perfuseurs,100,85,15,0.859
2023-01-18,Réanimation,Défibrillateurs,25,17,8,0.69
2023-01-18,Réanimation,Ventilateurs_NIV,80,70,10,0.875
2023-01-18,Réanimation,Échos,10,7,3,0.78
2023-01-18,Médecine,Moniteurs,180,149,31,0.829
2023-01-18,Médecine,Perfuseurs,450,353,97,0.785
2023-01-18,Médecine,Échos,30,22,8,0.736
2023-01-18,Médecine,Défibrillateurs,20,12,8,0.604
2023-01-18,Médecine,Respirateurs,20,12,8,0.624
2023-01-18,Chirurgie,Moniteurs,60,45,15,0.76
2023-01-18,Chirurgie,Perfuseurs,250,184,66,0.738
2023-01-18,Chirurgie,Échos,25,18,7,0.733
2023-01-18,Chirurgie,Défibrillateurs,20,11,9,0.585
2023-01-18,Chirurgie,Respirateurs,10,6,4,0.606
2023-01-18,Imagerie,IRM,5,4,1,0.941
2023-01-18,Imagerie,Scanners,4,3,1,0.88
2023-01-18,Imagerie,Échos,15,10,5,0.688
2023-01-18,Urgences,Moniteurs,25,17,8,0.714
2023-01-18,Urgences,Perfuseurs,35,26,9,0.761
2023-01-18,Urgences,Défibrillateurs,15,8,7,0.564
2023-01-19,Réanimation,Respirateurs,120,87,33,0.728
2023-01-19,Réanimation,Moniteurs,90,81,9,0.909
2023-01-19,Réanimation,Perfuseurs,100,82,18,0.825
2023-01-19,Réanimation,Défibrillateurs,25,17,8,0.69
2023-01-19,Réanimation,Ventilateurs_NIV,80,68,12,0.858
2023-01-19,Réanimation,Échos,10,8,2,0.831
2023-01-19,Médecine,Moniteurs,180,140,40,0.78
2023-01-19,Médecine,Perfuseurs,450,364,86,0.81
2023-01-19,Médecine,Échos,30,20,10,0.67
2023-01-19,Médecine,Défibrillateurs,20,11,9,0.596
2023-01-19,Médecine,Respirateurs,20,13,7,0.682
2023-01-19,Chirurgie,Moniteurs,60,47,13,0.784
2023-01-19,Chirurgie,Perfuseurs,250,182,68,0.731
2023-01-19,Chirurgie,Échos,25,18,7,0.73
2023-01-19,Chirurgie,Défibrillateurs,20,12,8,0.61
2023-01-19,Chirurgie,Respirateurs,10,6,4,0.675
2023-01-19,Imagerie,IRM,5,4,1,0.939
2023-01-19,Imagerie,Scanners,4,3,1,0.866
2023-01-19,Imagerie,Échos,15,10,5,0.713
2023-01-19,Urgences,Moniteurs,25,19,6,0.795
2023-01-19,Urgences,Perfuseurs,35,27,8,0.79
2023-01-19,Urgences,Défibrillateurs,15,9,6,0.637
2023-01-20,Réanimation,Respirateurs,120,93,27,0.775
2023-01-20,Réanimation,Moniteurs,90,75,15,0.842
2023-01-20,Réanimation,Perfuseurs,100,81,19,0.819
2023-01-20,Réanimation,Défibrillateurs,25,17,8,0.708
2023-01-20,Réanimation,Ventilateurs_NIV,80,72,8,0.908
2023-01-20,Réanimation,Échos,10,7,3,0.799
2023-01-20,Médecine,Moniteurs,180,154,26,0.856
2023-01-20,Médecine,Perfuseurs,450,330,120,0.733
2023-01-20,Médecine,Échos,30,20,10,0.699
2023-01-20,Médecine,Défibrillateurs,20,11,9,0.577
2023-01-20,Médecine,Respirateurs,20,14,6,0.714
2023-01-20,Chirurgie,Moniteurs,60,45,15,0.751
2023-01-20,Chirurgie,Perfuseurs,250,172,78,0.689
2023-01-20,Chirurgie,Échos,25,16,9,0.664
2023-01-20,Chirurgie,Défibrillateurs,20,13,7,0.662
2023-01-20,Chirurgie,Respirateurs,10,6,4,0.652
2023-01-20,Imagerie,IRM,5,4,1,0.98
2023-01-20,Imagerie,Scanners,4,3,1,0.922
2023-01-20,Imagerie,Échos,15,10,5,0.716
2023-01-20,Urgences,Moniteurs,25,19,6,0.799
2023-01-20,Urgences,Perfuseurs,35,24,11,0.692
2023-01-20,Urgences,Défibrillateurs,15,8,7,0.564
2023-01-21,Réanimation,Respirateurs,120,88,32,0.735
2023-01-21,Réanimation,Moniteurs,90,80,10,0.898
2023-01-21,Réanimation,Perfuseurs,100,86,14,0.869
2023-01-21,Réanimation,Défibrillateurs,25,16,9,0.668
2023-01-21,Réanimation,Ventilateurs_NIV,80,72,8,0.909
2023-01-21,Réanimation,Échos,10,8,2,0.805
2023-01-21,Médecine,Moniteurs,180,159,21,0.887
2023-01-21,Médecine,Perfuseurs,450,329,121,0.732
2023-01-21,Médecine,Échos,30,22,8,0.755
2023-01-21,Médecine,Défibrillateurs,20,12,8,0.626
2023-01-21,Médecine,Respirateurs,20,12,8,0.614
2023-01-21,Chirurgie,Moniteurs,60,48,12,0.801
2023-01-21,Chirurgie,Perfuseurs,250,184,66,0.74
2023-01-21,Chirurgie,Échos,25,17,8,0.704
2023-01-21,Chirurgie,Défibrillateurs,20,11,9,0.584
2023-01-21,Chirurgie,Respirateurs,10,6,4,0.651
2023-01-21,Imagerie,IRM,5,4,1,0.942
2023-01-21,Imagerie,Scanners,4,3,1,0.962
2023-01-21,Imagerie,Échos,15,10,5,0.71
2023-01-21,Urgences,Moniteurs,25,20,5,0.807
2023-01-21,Urgences,Perfuseurs,35,27,8,0.787
2023-01-21,Urgences,Défibrillateurs,15,9,6,0.617
2023-01-22,Réanimation,Respirateurs,120,85,35,0.71
2023-01-22,Réanimation,Moniteurs,90,75,15,0.838
2023-01-22,Réanimation,Perfuseurs,100,84,16,0.845
2023-01-22,Réanimation,Défibrillateurs,25,16,9,0.665
