date,service,categorie,effectif_total,effectif_present,taux_absence
2024-01-01,ORPHé_(Onco/Hémato),medecins,68,61,0.074
2024-01-01,ORPHé_(Onco/Hémato),infirmiers,195,181,0.074
2024-01-01,ORPHé_(Onco/Hémato),aides,148,135,0.085
2024-01-02,MSN_(Neuro/Psy),total,813,744,0.085
2024-01-02,MSN_(Neuro/Psy),medecins,111,102,0.073
2024-01-02,MSN_(Neuro/Psy),infirmiers,302,279,0.076
2024-01-02,MSN_(Neuro/Psy),aides,200,184,0.077
2024-01-02,Chirurgie,total,631,573,0.09
2024-01-02,Chirurgie,medecins,87,77,0.095
2024-01-02,Chirurgie,infirmiers,233,212,0.088
2024-01-02,Chirurgie,aides,155,140,0.09
2024-01-02,PRAGUES_(Réa/Pneumo),total,126,114,0.086
2024-01-02,PRAGUES_(Réa/Pneumo),medecins,22,20,0.099
2024-01-02,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.091
2024-01-02,PRAGUES_(Réa/Pneumo),aides,17,15,0.082
2024-01-02,Coeur_Metabolisme,total,454,416,0.083
2024-01-02,Coeur_Metabolisme,medecins,56,52,0.079
2024-01-02,Coeur_Metabolisme,infirmiers,152,137,0.095
2024-01-02,Coeur_Metabolisme,aides,100,92,0.073
2024-01-02,MSN_(Neuro/Psy),total,423,388,0.08
2024-01-02,MSN_(Neuro/Psy),medecins,51,45,0.097
2024-01-02,MSN_(Neuro/Psy),infirmiers,137,124,0.097
2024-01-02,MSN_(Neuro/Psy),aides,91,85,0.071
2024-01-02,Pôle_31_(Infectieux),total,303,270,0.105
2024-01-02,Pôle_31_(Infectieux),medecins,36,33,0.076
2024-01-02,Pôle_31_(Infectieux),infirmiers,96,87,0.101
2024-01-02,Pôle_31_(Infectieux),aides,64,57,0.094
2024-01-02,Urgences_(Passage_court),total,252,229,0.092
2024-01-02,Urgences_(Passage_court),medecins,31,26,0.092
2024-01-02,Urgences_(Passage_court),infirmiers,81,74,0.079
2024-01-02,Urgences_(Passage_court),aides,54,50,0.081
2024-01-02,Gériatrie,total,364,331,0.092
2024-01-02,Gériatrie,medecins,45,40,0.078
2024-01-02,Gériatrie,infirmiers,121,110,0.09
2024-01-02,Gériatrie,aides,81,73,0.085
2024-01-02,ORPHé_(Onco/Hémato),total,672,625,0.068
2024-01-02,ORPHé_(Onco/Hémato),medecins,68,60,0.087
2024-01-02,ORPHé_(Onco/Hémato),infirmiers,195,181,0.074
2024-01-02,ORPHé_(Onco/Hémato),aides,148,136,0.078
2024-01-03,MSN_(Neuro/Psy),total,813,737,0.093
2024-01-03,MSN_(Neuro/Psy),medecins,111,101,0.084
2024-01-03,MSN_(Neuro/Psy),infirmiers,302,282,0.065
2024-01-03,MSN_(Neuro/Psy),aides,200,184,0.077
2024-01-03,Chirurgie,total,631,573,0.091
2024-01-03,Chirurgie,medecins,87,78,0.082
2024-01-03,Chirurgie,infirmiers,233,217,0.071
2024-01-03,Chirurgie,aides,155,143,0.079
2024-01-03,PRAGUES_(Réa/Pneumo),total,126,112,0.099
2024-01-03,PRAGUES_(Réa/Pneumo),medecins,22,20,0.084
2024-01-03,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.081
2024-01-03,PRAGUES_(Réa/Pneumo),aides,17,15,0.093
2024-01-03,Coeur_Metabolisme,total,454,411,0.092
2024-01-03,Coeur_Metabolisme,medecins,56,50,0.101
2024-01-03,Coeur_Metabolisme,infirmiers,152,134,0.111
2024-01-03,Coeur_Metabolisme,aides,100,90,0.095
2024-01-03,MSN_(Neuro/Psy),total,423,389,0.079
2024-01-03,MSN_(Neuro/Psy),medecins,51,45,0.098
2024-01-03,MSN_(Neuro/Psy),infirmiers,137,121,0.115
2024-01-03,MSN_(Neuro/Psy),aides,91,83,0.085
2024-01-03,Pôle_31_(Infectieux),total,303,280,0.076
2024-01-03,Pôle_31_(Infectieux),medecins,36,33,0.064
2024-01-03,Pôle_31_(Infectieux),infirmiers,96,88,0.09
2024-01-03,Pôle_31_(Infectieux),aides,64,58,0.079
2024-01-03,Urgences_(Passage_court),total,252,236,0.066
2024-01-03,Urgences_(Passage_court),medecins,31,26,0.089
2024-01-03,Urgences_(Passage_court),infirmiers,81,73,0.094
2024-01-03,Urgences_(Passage_court),aides,54,50,0.083
2024-01-03,Gériatrie,total,364,335,0.08
2024-01-03,Gériatrie,medecins,45,40,0.075
2024-01-03,Gériatrie,infirmiers,121,109,0.093
2024-01-03,Gériatrie,aides,81,75,0.063
2024-01-03,ORPHé_(Onco/Hémato),total,672,618,0.079
2024-01-03,ORPHé_(Onco/Hémato),medecins,68,61,0.08
2024-01-03,ORPHé_(Onco/Hémato),infirmiers,195,177,0.088
2024-01-03,ORPHé_(Onco/Hémato),aides,148,135,0.086
2024-01-04,MSN_(Neuro/Psy),total,813,766,0.057
2024-01-04,MSN_(Neuro/Psy),medecins,111,101,0.081
2024-01-04,MSN_(Neuro/Psy),infirmiers,302,275,0.093
2024-01-04,MSN_(Neuro/Psy),aides,200,183,0.083
2024-01-04,Chirurgie,total,631,580,0.079
2024-01-04,Chirurgie,medecins,87,80,0.071
2024-01-04,Chirurgie,infirmiers,233,212,0.09
2024-01-04,Chirurgie,aides,155,138,0.106
2024-01-04,PRAGUES_(Réa/Pneumo),total,126,113,0.09
2024-01-04,PRAGUES_(Réa/Pneumo),medecins,22,20,0.091
2024-01-04,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.094
2024-01-04,PRAGUES_(Réa/Pneumo),aides,17,15,0.095
2024-01-04,Coeur_Metabolisme,total,454,412,0.091
2024-01-04,Coeur_Metabolisme,medecins,56,50,0.101
2024-01-04,Coeur_Metabolisme,infirmiers,152,138,0.083
2024-01-04,Coeur_Metabolisme,aides,100,91,0.088
2024-01-04,MSN_(Neuro/Psy),total,423,389,0.079
2024-01-04,MSN_(Neuro/Psy),medecins,51,46,0.067
2024-01-04,MSN_(Neuro/Psy),infirmiers,137,121,0.111
2024-01-04,MSN_(Neuro/Psy),aides,91,82,0.098
2024-01-04,Pôle_31_(Infectieux),total,303,277,0.086
2024-01-04,Pôle_31_(Infectieux),medecins,36,33,0.09
2024-01-04,Pôle_31_(Infectieux),infirmiers,96,89,0.079
2024-01-04,Pôle_31_(Infectieux),aides,64,58,0.074
2024-01-04,Urgences_(Passage_court),total,252,231,0.083
2024-01-04,Urgences_(Passage_court),medecins,31,26,0.086
2024-01-04,Urgences_(Passage_court),infirmiers,81,74,0.078
2024-01-04,Urgences_(Passage_court),aides,54,49,0.086
2024-01-04,Gériatrie,total,364,333,0.086
2024-01-04,Gériatrie,medecins,45,40,0.087
2024-01-04,Gériatrie,infirmiers,121,110,0.084
2024-01-04,Gériatrie,aides,81,72,0.107
2024-01-04,ORPHé_(Onco/Hémato),total,672,607,0.095
2024-01-04,ORPHé_(Onco/Hémato),medecins,68,59,0.104
2024-01-04,ORPHé_(Onco/Hémato),infirmiers,195,180,0.078
2024-01-04,ORPHé_(Onco/Hémato),aides,148,135,0.087
2024-01-05,MSN_(Neuro/Psy),total,813,746,0.083
2024-01-05,MSN_(Neuro/Psy),medecins,111,101,0.086
2024-01-05,MSN_(Neuro/Psy),infirmiers,302,282,0.065
2024-01-05,MSN_(Neuro/Psy),aides,200,179,0.106
2024-01-05,Chirurgie,total,631,579,0.081
2024-01-05,Chirurgie,medecins,87,77,0.102
2024-01-05,Chirurgie,infirmiers,233,213,0.085
2024-01-05,Chirurgie,aides,155,142,0.083
2024-01-05,PRAGUES_(Réa/Pneumo),total,126,114,0.083
2024-01-05,PRAGUES_(Réa/Pneumo),medecins,22,20,0.088
2024-01-05,PRAGUES_(Réa/Pneumo),infirmiers,56,52,0.079
2024-01-05,PRAGUES_(Réa/Pneumo),aides,17,15,0.076
2024-01-05,Coeur_Metabolisme,total,454,410,0.095
2024-01-05,Coeur_Metabolisme,medecins,56,51,0.1
2024-01-05,Coeur_Metabolisme,infirmiers,152,138,0.084
2024-01-05,Coeur_Metabolisme,aides,100,90,0.098
2024-01-05,MSN_(Neuro/Psy),total,423,389,0.078
2024-01-05,MSN_(Neuro/Psy),medecins,51,46,0.079
2024-01-05,MSN_(Neuro/Psy),infirmiers,137,124,0.097
2024-01-05,MSN_(Neuro/Psy),aides,91,83,0.085
2024-01-05,Pôle_31_(Infectieux),total,303,279,0.079
2024-01-05,Pôle_31_(Infectieux),medecins,36,32,0.096
2024-01-05,Pôle_31_(Infectieux),infirmiers,96,88,0.082
2024-01-05,Pôle_31_(Infectieux),aides,64,58,0.077
2024-01-05,Urgences_(Passage_court),total,252,232,0.076
2024-01-05,Urgences_(Passage_court),medecins,31,26,0.075
2024-01-05,Urgences_(Passage_court),infirmiers,81,73,0.084
2024-01-05,Urgences_(Passage_court),aides,54,49,0.091
2024-01-05,Gériatrie,total,364,337,0.073
2024-01-05,Gériatrie,medecins,45,40,0.097
2024-01-05,Gériatrie,infirmiers,121,110,0.09
2024-01-05,Gériatrie,aides,81,73,0.087
2024-01-05,ORPHé_(Onco/Hémato),total,672,607,0.095
2024-01-05,ORPHé_(Onco/Hémato),medecins,68,60,0.089
2024-01-05,ORPHé_(Onco/Hémato),infirmiers,195,177,0.089
2024-01-05,ORPHé_(Onco/Hémato),aides,148,137,0.076
2024-01-06,MSN_(Neuro/Psy),total,813,749,0.078
2024-01-06,MSN_(Neuro/Psy),medecins,111,99,0.103
2024-01-06,MSN_(Neuro/Psy),infirmiers,302,277,0.084
2024-01-06,MSN_(Neuro/Psy),aides,200,182,0.09
2024-01-06,Chirurgie,total,631,578,0.083
2024-01-06,Chirurgie,medecins,87,78,0.086
2024-01-06,Chirurgie,infirmiers,233,212,0.088
2024-01-06,Chirurgie,aides,155,140,0.088
2024-01-06,PRAGUES_(Réa/Pneumo),total,126,113,0.096
2024-01-06,PRAGUES_(Réa/Pneumo),medecins,22,20,0.081
2024-01-06,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.094
2024-01-06,PRAGUES_(Réa/Pneumo),aides,17,15,0.074
2024-01-06,Coeur_Metabolisme,total,454,412,0.091
2024-01-06,Coeur_Metabolisme,medecins,56,51,0.091
2024-01-06,Coeur_Metabolisme,infirmiers,152,137,0.096
2024-01-06,Coeur_Metabolisme,aides,100,91,0.081
2024-01-06,MSN_(Neuro/Psy),total,423,385,0.09
2024-01-06,MSN_(Neuro/Psy),medecins,51,46,0.074
2024-01-06,MSN_(Neuro/Psy),infirmiers,137,125,0.086
2024-01-06,MSN_(Neuro/Psy),aides,91,83,0.077
2024-01-06,Pôle_31_(Infectieux),total,303,281,0.072
2024-01-06,Pôle_31_(Infectieux),medecins,36,33,0.079
2024-01-06,Pôle_31_(Infectieux),infirmiers,96,89,0.073
2024-01-06,Pôle_31_(Infectieux),aides,64,59,0.07
2024-01-06,Urgences_(Passage_court),total,252,232,0.08
2024-01-06,Urgences_(Passage_court),medecins,31,26,0.102
2024-01-06,Urgences_(Passage_court),infirmiers,81,73,0.095
2024-01-06,Urgences_(Passage_court),aides,54,49,0.085
2024-01-06,Gériatrie,total,364,337,0.073
2024-01-06,Gériatrie,medecins,45,40,0.088
2024-01-06,Gériatrie,infirmiers,121,110,0.088
2024-01-06,Gériatrie,aides,81,74,0.076
2024-01-06,ORPHé_(Onco/Hémato),total,672,618,0.079
2024-01-06,ORPHé_(Onco/Hémato),medecins,68,61,0.076
2024-01-06,ORPHé_(Onco/Hémato),infirmiers,195,182,0.066
2024-01-06,ORPHé_(Onco/Hémato),aides,148,137,0.075
2024-01-07,MSN_(Neuro/Psy),total,813,738,0.092
2024-01-07,MSN_(Neuro/Psy),medecins,111,99,0.102
2024-01-07,MSN_(Neuro/Psy),infirmiers,302,273,0.093
2024-01-07,MSN_(Neuro/Psy),aides,200,179,0.104
2024-01-07,Chirurgie,total,631,580,0.079
2024-01-07,Chirurgie,medecins,87,80,0.067
2024-01-07,Chirurgie,infirmiers,233,212,0.09
2024-01-07,Chirurgie,aides,155,143,0.079
2024-01-07,PRAGUES_(Réa/Pneumo),total,126,112,0.099
2024-01-07,PRAGUES_(Réa/Pneumo),medecins,22,20,0.085
2024-01-07,PRAGUES_(Réa/Pneumo),infirmiers,56,52,0.079
2024-01-07,PRAGUES_(Réa/Pneumo),aides,17,15,0.098
2024-01-07,Coeur_Metabolisme,total,454,410,0.094
2024-01-07,Coeur_Metabolisme,medecins,56,51,0.091
2024-01-07,Coeur_Metabolisme,infirmiers,152,140,0.07
2024-01-07,Coeur_Metabolisme,aides,100,91,0.082
2024-01-07,MSN_(Neuro/Psy),total,423,389,0.078
2024-01-07,MSN_(Neuro/Psy),medecins,51,46,0.088
2024-01-07,MSN_(Neuro/Psy),infirmiers,137,125,0.086
2024-01-07,MSN_(Neuro/Psy),aides,91,81,0.101
2024-01-07,Pôle_31_(Infectieux),total,303,273,0.098
2024-01-07,Pôle_31_(Infectieux),medecins,36,33,0.093
2024-01-07,Pôle_31_(Infectieux),infirmiers,96,89,0.08
2024-01-07,Pôle_31_(Infectieux),aides,64,57,0.096
2024-01-07,Urgences_(Passage_court),total,252,232,0.078
2024-01-07,Urgences_(Passage_court),medecins,31,26,0.09
2024-01-07,Urgences_(Passage_court),infirmiers,81,73,0.094
2024-01-07,Urgences_(Passage_court),aides,54,50,0.078
2024-01-07,Gériatrie,total,364,336,0.076
2024-01-07,Gériatrie,medecins,45,41,0.074
2024-01-07,Gériatrie,infirmiers,121,111,0.08
2024-01-07,Gériatrie,aides,81,75,0.062
2024-01-07,ORPHé_(Onco/Hémato),total,672,623,0.07
2024-01-07,ORPHé_(Onco/Hémato),medecins,68,61,0.082
2024-01-07,ORPHé_(Onco/Hémato),infirmiers,195,177,0.091
2024-01-07,ORPHé_(Onco/Hémato),aides,148,136,0.081
2024-01-08,MSN_(Neuro/Psy),total,813,742,0.087
2024-01-08,MSN_(Neuro/Psy),medecins,111,101,0.089
2024-01-08,MSN_(Neuro/Psy),infirmiers,302,276,0.088
2024-01-08,MSN_(Neuro/Psy),aides,200,184,0.074
2024-01-08,Chirurgie,total,631,566,0.1
2024-01-08,Chirurgie,medecins,87,78,0.082
2024-01-08,Chirurgie,infirmiers,233,214,0.078
2024-01-08,Chirurgie,aides,155,142,0.085
2024-01-08,PRAGUES_(Réa/Pneumo),total,126,116,0.072
2024-01-08,PRAGUES_(Réa/Pneumo),medecins,22,20,0.07
2024-01-08,PRAGUES_(Réa/Pneumo),infirmiers,56,52,0.077
2024-01-08,PRAGUES_(Réa/Pneumo),aides,17,15,0.085
2024-01-08,Coeur_Metabolisme,total,454,404,0.111
2024-01-08,Coeur_Metabolisme,medecins,56,50,0.102
2024-01-08,Coeur_Metabolisme,infirmiers,152,138,0.089
2024-01-08,Coeur_Metabolisme,aides,100,90,0.1
2024-01-08,MSN_(Neuro/Psy),total,423,377,0.105
2024-01-08,MSN_(Neuro/Psy),medecins,51,46,0.086
2024-01-08,MSN_(Neuro/Psy),infirmiers,137,127,0.07
2024-01-08,MSN_(Neuro/Psy),aides,91,82,0.098
2024-01-08,Pôle_31_(Infectieux),total,303,273,0.096
2024-01-08,Pôle_31_(Infectieux),medecins,36,32,0.095
2024-01-08,Pôle_31_(Infectieux),infirmiers,96,88,0.082
2024-01-08,Pôle_31_(Infectieux),aides,64,57,0.103
2024-01-08,Urgences_(Passage_court),total,252,231,0.084
2024-01-08,Urgences_(Passage_court),medecins,31,28,0.07
2024-01-08,Urgences_(Passage_court),infirmiers,81,73,0.092
2024-01-08,Urgences_(Passage_court),aides,54,50,0.075
2024-01-08,Gériatrie,total,364,332,0.089
2024-01-08,Gériatrie,medecins,45,40,0.081
2024-01-08,Gériatrie,infirmiers,121,111,0.08
2024-01-08,Gériatrie,aides,81,73,0.095
2024-01-08,ORPHé_(Onco/Hémato),total,672,606,0.097
2024-01-08,ORPHé_(Onco/Hémato),medecins,68,60,0.1
2024-01-08,ORPHé_(Onco/Hémato),infirmiers,195,179,0.083
2024-01-08,ORPHé_(Onco/Hémato),aides,148,136,0.082
2024-01-09,MSN_(Neuro/Psy),total,813,725,0.109
2024-01-09,MSN_(Neuro/Psy),medecins,111,101,0.09
2024-01-09,MSN_(Neuro/Psy),infirmiers,302,272,0.099
2024-01-09,MSN_(Neuro/Psy),aides,200,183,0.083
2024-01-09,Chirurgie,total,631,573,0.089
2024-01-09,Chirurgie,medecins,87,78,0.079
2024-01-09,Chirurgie,infirmiers,233,212,0.088
2024-01-09,Chirurgie,aides,155,140,0.09
2024-01-09,PRAGUES_(Réa/Pneumo),total,126,114,0.085
2024-01-09,PRAGUES_(Réa/Pneumo),medecins,22,20,0.074
2024-01-09,PRAGUES_(Réa/Pneumo),infirmiers,56,52,0.078
2024-01-09,PRAGUES_(Réa/Pneumo),aides,17,15,0.079
2024-01-09,Coeur_Metabolisme,total,454,417,0.081
2024-01-09,Coeur_Metabolisme,medecins,56,51,0.092
2024-01-09,Coeur_Metabolisme,infirmiers,152,139,0.08
2024-01-09,Coeur_Metabolisme,aides,100,91,0.082
2024-01-09,MSN_(Neuro/Psy),total,423,382,0.094
2024-01-09,MSN_(Neuro/Psy),medecins,51,45,0.092
2024-01-09,MSN_(Neuro/Psy),infirmiers,137,123,0.105
2024-01-09,MSN_(Neuro/Psy),aides,91,83,0.076
2024-01-09,Pôle_31_(Infectieux),total,303,278,0.083
2024-01-09,Pôle_31_(Infectieux),medecins,36,33,0.087
2024-01-09,Pôle_31_(Infectieux),infirmiers,96,88,0.088
2024-01-09,Pôle_31_(Infectieux),aides,64,57,0.099
2024-01-09,Urgences_(Passage_court),total,252,232,0.077
2024-01-09,Urgences_(Passage_court),medecins,31,28,0.068
2024-01-09,Urgences_(Passage_court),infirmiers,81,74,0.079
2024-01-09,Urgences_(Passage_court),aides,54,50,0.071
2024-01-09,Gériatrie,total,364,331,0.09
2024-01-09,Gériatrie,medecins,45,40,0.095
2024-01-09,Gériatrie,infirmiers,121,111,0.079
2024-01-09,Gériatrie,aides,81,73,0.084
2024-01-09,ORPHé_(Onco/Hémato),total,672,617,0.081
2024-01-09,ORPHé_(Onco/Hémato),medecins,68,60,0.084
2024-01-09,ORPHé_(Onco/Hémato),infirmiers,195,180,0.079
2024-01-09,ORPHé_(Onco/Hémato),aides,148,134,0.095
2024-01-10,MSN_(Neuro/Psy),total,813,745,0.083
2024-01-10,MSN_(Neuro/Psy),medecins,111,100,0.092
2024-01-10,MSN_(Neuro/Psy),infirmiers,302,267,0.113
2024-01-10,MSN_(Neuro/Psy),aides,200,183,0.081
2024-01-10,Chirurgie,total,631,570,0.094
2024-01-10,Chirurgie,medecins,87,78,0.083
2024-01-10,Chirurgie,infirmiers,233,211,0.093
2024-01-10,Chirurgie,aides,155,143,0.078
2024-01-10,PRAGUES_(Réa/Pneumo),total,126,116,0.075
2024-01-10,PRAGUES_(Réa/Pneumo),medecins,22,20,0.067
2024-01-10,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.092
2024-01-10,PRAGUES_(Réa/Pneumo),aides,17,15,0.079
2024-01-10,Coeur_Metabolisme,total,454,413,0.087
2024-01-10,Coeur_Metabolisme,medecins,56,50,0.103
2024-01-10,Coeur_Metabolisme,infirmiers,152,140,0.071
2024-01-10,Coeur_Metabolisme,aides,100,91,0.084
2024-01-10,MSN_(Neuro/Psy),total,423,382,0.096
2024-01-10,MSN_(Neuro/Psy),medecins,51,45,0.098
2024-01-10,MSN_(Neuro/Psy),infirmiers,137,126,0.078
2024-01-10,MSN_(Neuro/Psy),aides,91,85,0.074
2024-01-10,Pôle_31_(Infectieux),total,303,276,0.09
2024-01-10,Pôle_31_(Infectieux),medecins,36,32,0.097
2024-01-10,Pôle_31_(Infectieux),infirmiers,96,88,0.088
2024-01-10,Pôle_31_(Infectieux),aides,64,59,0.063
2024-01-10,Urgences_(Passage_court),total,252,231,0.082
2024-01-10,Urgences_(Passage_court),medecins,31,26,0.091
2024-01-10,Urgences_(Passage_court),infirmiers,81,74,0.082
2024-01-10,Urgences_(Passage_court),aides,54,50,0.075
2024-01-10,Gériatrie,total,364,332,0.086
2024-01-10,Gériatrie,medecins,45,41,0.073
2024-01-10,Gériatrie,infirmiers,121,112,0.07
2024-01-10,Gériatrie,aides,81,73,0.087
2024-01-10,ORPHé_(Onco/Hémato),total,672,614,0.086
2024-01-10,ORPHé_(Onco/Hémato),medecins,68,60,0.096
2024-01-10,ORPHé_(Onco/Hémato),infirmiers,195,182,0.066
2024-01-10,ORPHé_(Onco/Hémato),aides,148,136,0.078
2024-01-11,MSN_(Neuro/Psy),total,813,723,0.111
2024-01-11,MSN_(Neuro/Psy),medecins,111,102,0.076
2024-01-11,MSN_(Neuro/Psy),infirmiers,302,272,0.1
2024-01-11,MSN_(Neuro/Psy),aides,200,186,0.072
2024-01-11,Chirurgie,total,631,566,0.101
2024-01-11,Chirurgie,medecins,87,81,0.064
2024-01-11,Chirurgie,infirmiers,233,214,0.08
2024-01-11,Chirurgie,aides,155,142,0.084
2024-01-11,PRAGUES_(Réa/Pneumo),total,126,114,0.087
2024-01-11,PRAGUES_(Réa/Pneumo),medecins,22,20,0.08
2024-01-11,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.083
2024-01-11,PRAGUES_(Réa/Pneumo),aides,17,15,0.083
2024-01-11,Coeur_Metabolisme,total,454,410,0.096
2024-01-11,Coeur_Metabolisme,medecins,56,51,0.084
2024-01-11,Coeur_Metabolisme,infirmiers,152,136,0.1
2024-01-11,Coeur_Metabolisme,aides,100,90,0.095
2024-01-11,MSN_(Neuro/Psy),total,423,394,0.064
2024-01-11,MSN_(Neuro/Psy),medecins,51,46,0.076
2024-01-11,MSN_(Neuro/Psy),infirmiers,137,127,0.073
2024-01-11,MSN_(Neuro/Psy),aides,91,82,0.092
2024-01-11,Pôle_31_(Infectieux),total,303,278,0.083
2024-01-11,Pôle_31_(Infectieux),medecins,36,33,0.082
2024-01-11,Pôle_31_(Infectieux),infirmiers,96,88,0.092
2024-01-11,Pôle_31_(Infectieux),aides,64,58,0.085
2024-01-11,Urgences_(Passage_court),total,252,229,0.09
2024-01-11,Urgences_(Passage_court),medecins,31,26,0.102
2024-01-11,Urgences_(Passage_court),infirmiers,81,73,0.089
2024-01-11,Urgences_(Passage_court),aides,54,49,0.088
2024-01-11,Gériatrie,total,364,336,0.077
2024-01-11,Gériatrie,medecins,45,39,0.1
2024-01-11,Gériatrie,infirmiers,121,110,0.088
2024-01-11,Gériatrie,aides,81,73,0.096
2024-01-11,ORPHé_(Onco/Hémato),total,672,622,0.073
2024-01-11,ORPHé_(Onco/Hémato),medecins,68,61,0.074
2024-01-11,ORPHé_(Onco/Hémato),infirmiers,195,176,0.096
2024-01-11,ORPHé_(Onco/Hémato),aides,148,137,0.071
2024-01-12,MSN_(Neuro/Psy),total,813,754,0.072
2024-01-12,MSN_(Neuro/Psy),medecins,111,102,0.074
2024-01-12,MSN_(Neuro/Psy),infirmiers,302,277,0.084
2024-01-12,MSN_(Neuro/Psy),aides,200,182,0.087
2024-01-12,Chirurgie,total,631,576,0.086
2024-01-12,Chirurgie,medecins,87,80,0.075
2024-01-12,Chirurgie,infirmiers,233,212,0.088
2024-01-12,Chirurgie,aides,155,142,0.082
2024-01-12,PRAGUES_(Réa/Pneumo),total,126,114,0.088
2024-01-12,PRAGUES_(Réa/Pneumo),medecins,22,20,0.08
2024-01-12,PRAGUES_(Réa/Pneumo),infirmiers,56,52,0.074
2024-01-12,PRAGUES_(Réa/Pneumo),aides,17,15,0.082
2024-01-12,Coeur_Metabolisme,total,454,418,0.077
2024-01-12,Coeur_Metabolisme,medecins,56,51,0.098
2024-01-12,Coeur_Metabolisme,infirmiers,152,137,0.09
2024-01-12,Coeur_Metabolisme,aides,100,91,0.089
2024-01-12,MSN_(Neuro/Psy),total,423,383,0.091
2024-01-12,MSN_(Neuro/Psy),medecins,51,46,0.087
2024-01-12,MSN_(Neuro/Psy),infirmiers,137,129,0.057
2024-01-12,MSN_(Neuro/Psy),aides,91,82,0.093
2024-01-12,Pôle_31_(Infectieux),total,303,280,0.075
2024-01-12,Pôle_31_(Infectieux),medecins,36,33,0.093
2024-01-12,Pôle_31_(Infectieux),infirmiers,96,89,0.076
2024-01-12,Pôle_31_(Infectieux),aides,64,57,0.089
2024-01-12,Urgences_(Passage_court),total,252,230,0.086
2024-01-12,Urgences_(Passage_court),medecins,31,26,0.094
2024-01-12,Urgences_(Passage_court),infirmiers,81,72,0.099
2024-01-12,Urgences_(Passage_court),aides,54,49,0.099
2024-01-12,Gériatrie,total,364,330,0.095
2024-01-12,Gériatrie,medecins,45,40,0.084
2024-01-12,Gériatrie,infirmiers,121,112,0.072
2024-01-12,Gériatrie,aides,81,73,0.093
2024-01-12,ORPHé_(Onco/Hémato),total,672,607,0.094
2024-01-12,ORPHé_(Onco/Hémato),medecins,68,60,0.089
2024-01-12,ORPHé_(Onco/Hémato),infirmiers,195,180,0.08
2024-01-12,ORPHé_(Onco/Hémato),aides,148,134,0.091
2024-01-13,MSN_(Neuro/Psy),total,813,727,0.106
2024-01-13,MSN_(Neuro/Psy),medecins,111,101,0.091
2024-01-13,MSN_(Neuro/Psy),infirmiers,302,279,0.077
2024-01-13,MSN_(Neuro/Psy),aides,200,181,0.094
2024-01-13,Chirurgie,total,631,566,0.101
2024-01-13,Chirurgie,medecins,87,78,0.084
2024-01-13,Chirurgie,infirmiers,233,211,0.093
2024-01-13,Chirurgie,aides,155,142,0.087
2024-01-13,PRAGUES_(Réa/Pneumo),total,126,113,0.097
2024-01-13,PRAGUES_(Réa/Pneumo),medecins,22,20,0.077
2024-01-13,PRAGUES_(Réa/Pneumo),infirmiers,56,51,0.094
